	Télébase	Technoforum	ZIRST	Parc industriel et technologique	Parc technologique	Parc scientifique	Technopole	Technoparc	Plateforme tertiaire	Zone d'activité tertiaire	Parc tertiaire	Parc d'affaires	Quartier d'affaires	Centre d'affaires	Parc immobilier de bureau	Immeuble intelligent	Immeuble d'accueil	Cité internationnale	Parc d'affaires int.	Village d'entreprises	Parc d'entreprises	Parc d'activité économique	Centre d'activité	Village d'activité	Europarc	Parc club	Zone commerciale	ZAC	Zone artisanale	Zone d'activité	ZI	Zone d'entreprises	Friche industrielle	ZI Verticale	Usine relais	Atelier relais	Pépinière d'entreprises	Ruche d'entreprises	Jardin d'entreprises	Couveuse	Incubateur	Téléport	Aéropole	Parc aéroportuaire	Zone industrialo-portuaire	Plateforme logistique	Eurofret	Centre de gros	Plateforme multimodale
Cité internationnale	4	7	4	5	4	4	9	4	11	8	8	17	21	24	16	4	5	0	30	4	5	7	5	6	17	9	3	4	2	3	1	1	3	1	1	2	4	3	5	1	1	4	3	3	2	3	8	2	3
Parc d'affaires int.	3	7	3	8	7	10	8	10	23	25	31	42	31	35	23	7	12	30	0	12	22	23	9	9	26	24	7	4	4	7	3	7	1	5	2	2	10	8	13	3	1	1	3	5	2	4	8	5	3
Village d'entreprises	1	2	7	9	9	7	4	10	11	20	24	20	10	7	6	3	5	4	12	0	42	33	24	41	12	21	4	5	11	20	13	26	4	11	5	5	31	28	39	8	6	0	0	1	1	0	0	3	4
Parc d'entreprises	2	2	3	11	12	8	5	14	14	18	32	29	12	13	11	5	10	5	22	42	0	38	23	33	20	33	3	7	9	21	17	32	5	12	7	7	30	27	36	5	3	1	0	5	0	1	1	3	4
Parc d'activité économique	1	3	6	15	14	12	6	12	14	17	26	27	12	12	10	3	5	7	23	33	38	0	26	29	21	25	8	12	13	20	14	26	4	7	3	3	18	14	25	3	2	1	1	4	0	1	1	2	3
Centre d'activité	1	4	7	7	5	4	6	7	14	22	18	14	14	13	8	4	7	5	9	24	23	26	0	31	15	17	14	14	15	34	20	29	6	10	4	5	11	9	17	2	0	0	1	1	5	3	1	5	3
Village d'activité	1	2	8	8	8	5	5	10	8	13	17	15	5	3	7	4	6	6	9	41	33	29	31	0	14	21	6	5	11	21	9	17	3	7	5	6	20	19	28	6	5	0	0	1	2	1	0	1	3
Europarc	6	7	2	15	15	14	13	18	9	9	18	22	10	13	13	3	4	17	26	12	20	21	15	14	0	22	2	2	3	8	5	12	3	4	0	0	7	7	11	1	0	3	4	8	6	4	12	4	4
Parc club	4	5	4	7	11	9	7	15	18	21	30	33	18	18	18	11	15	9	24	21	33	25	17	21	22	0	2	2	3	8	2	9	0	2	2	2	16	12	21	4	3	1	0	4	0	2	2	0	4
Zone commerciale	1	1	5	4	1	3	2	1	10	16	11	10	14	13	9	3	6	3	7	4	3	8	14	6	2	2	0	14	22	17	16	15	4	6	2	1	0	0	1	0	0	1	1	3	5	6	4	12	3
ZAC	3	1	11	5	2	2	2	1	7	15	7	5	6	5	6	3	6	4	4	5	7	12	14	5	2	2	14	0	21	20	23	20	12	13	7	9	5	6	4	2	2	1	2	2	7	4	3	4	2
Zone artisanale	1	0	10	5	3	5	1	2	1	13	3	4	4	2	0	0	0	2	4	11	9	13	15	11	3	3	22	21	0	27	28	25	5	12	8	9	8	9	9	1	1	0	0	1	4	2	2	3	2
Zone d'activité	1	1	8	7	2	2	4	4	7	19	10	11	7	6	2	0	2	3	7	20	21	20	34	21	8	8	17	20	27	0	36	43	9	16	6	6	15	11	17	2	0	0	0	2	7	4	3	9	2
ZI	0	2	12	12	5	6	3	4	4	14	5	4	5	5	1	0	2	1	3	13	17	14	20	9	5	2	16	23	28	36	0	44	13	35	10	10	8	9	10	0	0	0	0	4	12	6	5	9	2
Zone d'entreprises	3	2	11	10	7	4	5	7	8	20	12	10	6	7	2	1	3	1	7	26	32	26	29	17	12	9	15	20	25	43	44	0	11	22	6	6	17	16	20	2	0	0	0	2	7	6	5	10	5
Friche industrielle	2	1	4	6	2	2	2	1	2	4	2	1	2	1	3	1	2	3	1	4	5	4	6	3	3	0	4	12	5	9	13	11	0	9	5	5	3	4	3	1	1	0	1	2	2	3	2	2	1
ZI Verticale	2	3	8	10	5	5	4	4	5	10	4	4	4	4	4	5	6	1	5	11	12	7	10	7	4	2	6	13	12	16	35	22	9	0	12	11	8	10	9	2	2	0	0	3	10	4	3	5	1
Usine relais	1	1	1	3	1	0	2	1	5	4	1	1	0	0	2	3	11	1	2	5	7	3	4	5	0	2	2	7	8	6	10	6	5	12	0	43	14	13	9	7	8	0	1	3	7	5	3	3	6
Atelier relais	1	1	1	3	1	0	2	1	6	4	1	1	0	0	3	3	11	2	2	5	7	3	5	6	0	2	1	9	9	6	10	6	5	11	43	0	15	14	9	8	9	0	1	2	6	4	2	2	5
Pépinière d'entreprises	1	4	2	5	6	3	6	8	10	11	15	15	6	6	6	3	11	4	10	31	30	18	11	20	7	16	0	5	8	15	8	17	3	8	14	15	0	49	45	20	17	0	0	0	0	1	0	3	5
Ruche d'entreprises	1	2	1	3	5	3	3	5	8	8	10	12	6	6	6	3	11	3	8	28	27	14	9	19	7	12	0	6	9	11	9	16	4	10	13	14	49	0	41	20	18	0	0	1	0	1	0	3	3
Jardin d'entreprises	1	2	1	4	5	3	4	7	12	14	19	20	7	7	7	2	9	5	13	39	36	25	17	28	11	21	1	4	9	17	10	20	3	9	9	9	45	41	0	14	12	0	0	1	0	0	0	3	2
Couveuse	1	0	0	0	0	0	1	1	3	3	3	3	1	1	2	3	6	1	3	8	5	3	2	6	1	4	0	2	1	2	0	2	1	2	7	8	20	20	14	0	23	1	0	0	0	1	0	1	0
Incubateur	1	0	0	0	0	0	0	0	3	1	1	1	0	0	2	3	7	1	1	6	3	2	0	5	0	3	0	2	1	0	0	0	1	2	8	9	17	18	12	23	0	1	0	0	0	1	0	0	0
Téléport	15	6	5	5	5	4	4	5	1	1	1	1	1	2	3	2	1	4	1	0	1	1	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	23	25	26	20	23	17	7
Aéropole	5	2	0	3	2	2	4	2	2	0	0	1	0	0	2	0	0	3	3	0	0	1	1	0	4	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	23	0	36	32	21	30	16	9
Parc aéroportuaire	4	1	1	8	6	6	3	5	3	0	5	5	1	2	4	0	1	3	5	1	5	4	1	1	8	4	3	2	1	2	4	2	2	3	3	2	0	1	1	0	0	25	36	0	46	26	37	22	12
Zone industrialo-portuaire	6	2	5	5	3	2	4	3	5	5	0	0	0	0	3	0	0	2	2	1	0	0	5	2	6	0	5	7	4	7	12	7	2	10	7	6	0	0	0	0	0	26	32	46	0	28	37	25	11
Plateforme logistique	6	1	2	3	2	2	2	2	16	7	4	2	3	3	7	4	2	3	4	0	1	1	3	1	4	2	6	4	2	4	6	6	3	4	5	4	1	1	0	1	1	20	21	26	28	0	38	35	32
Eurofret	6	0	1	4	2	2	3	1	6	2	1	3	2	3	4	0	0	8	8	0	1	1	1	0	12	2	4	3	2	3	5	5	2	3	3	2	0	0	0	0	0	23	30	37	37	38	0	35	21
Centre de gros	3	0	1	2	1	1	2	1	10	7	4	5	5	5	3	1	0	2	5	3	3	2	5	1	4	0	12	4	3	9	9	10	2	5	3	2	3	3	3	1	0	17	16	22	25	35	35	0	20
Plateforme multimodale	5	1	1	3	4	2	4	4	13	5	5	5	4	4	8	6	6	3	3	4	4	3	3	3	4	4	3	2	2	2	2	5	1	1	6	5	5	3	2	0	0	7	9	12	11	32	21	20	0
