	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V
25	9.94217 	21.96996 	39.4944 	39.52413 	58.70274 	58.63445 	61.12272 	102.4271 	104.1129 	199.2579 	37.12945 	36.77918 	36.99514 	36.74172 	32.52316 	32.43243 	32.57916 	31.60324 	31.93517 	34.73818 	60.52723 	2.58 
26	9.96728 	21.938 	39.49352 	39.46628 	58.6775 	58.6473 	61.14362 	102.3449 	104.111 	199.1405 	37.11388 	36.73102 	36.8904 	36.64819 	32.51109 	32.49876 	32.5676 	31.86446 	31.94281 	34.72222 	60.45898 	2.56 
27	10.02692 	22.02319 	39.4879 	39.54181 	58.69401 	58.59311 	61.10263 	102.3808 	104.1115 	199.1034 	37.02809 	36.58833 	36.96037 	36.74102 	32.48649 	32.50676 	32.5327 	31.73129 	32.10408 	34.64094 	60.45369 	2.56 
28	10.10091 	22.06251 	39.50812 	39.45699 	58.7048 	58.79698 	61.08595 	102.3966 	104.0896 	199.1291 	37.02561 	36.60679 	36.96025 	36.68994 	32.48052 	32.43346 	32.60797 	31.83297 	31.98101 	34.726 	60.43298 	2.58 
29	9.96801 	21.97732 	39.50004 	39.57388 	58.68043 	58.53477 	61.11029 	102.3998 	104.1158 	199.1645 	37.13043 	36.74551 	36.85953 	36.58513 	32.53455 	32.57557 	32.6706 	31.71474 	32.05829 	34.70475 	60.48243 	2.56 
30	9.86023 	21.85897 	39.48964 	39.44057 	58.60337 	58.51995 	61.05442 	102.3642 	104.0554 	199.0848 	37.07775 	36.62818 	36.87842 	36.6528 	32.5221 	32.42238 	32.60531 	31.81674 	32.03205 	34.69952 	60.41313 	2.56 
31	9.95162 	21.93287 	39.49223 	39.3398 	58.68844 	58.56786 	61.05092 	102.3124 	104.0798 	199.1765 	37.04295 	36.70658 	36.87807 	36.62962 	32.51169 	32.45948 	32.58877 	31.83176 	31.95446 	34.66554 	60.39701 	2.56 
32	9.93122 	21.9229 	39.50318 	39.42665 	58.63263 	58.57818 	61.06189 	102.2572 	104.0124 	199.0961 	37.10714 	36.74318 	36.88682 	36.62474 	32.49581 	32.34166 	32.46141 	31.88094 	32.01181 	34.71676 	60.36093 	2.56 
33	10.11482 	22.05671 	39.51311 	39.48634 	58.6929 	58.67111 	61.22095 	102.4365 	104.1098 	199.166 	37.12893 	36.68035 	36.90353 	36.60596 	32.47746 	32.4544 	32.55073 	31.67836 	32.07445 	34.69689 	60.43464 	2.56 
34	10.09952 	22.10241 	39.51995 	39.5351 	58.69998 	58.64685 	61.10668 	102.5108 	104.2276 	199.1734 	37.04162 	36.63544 	37.06431 	36.76992 	32.52718 	32.37056 	32.51469 	31.76587 	32.04092 	34.71484 	60.47477 	2.58 
35	10.06886 	22.08227 	39.50317 	39.48161 	58.68558 	58.69461 	61.09933 	102.4507 	104.1907 	199.1221 	37.08947 	36.67706 	36.95724 	36.72858 	32.53265 	32.37863 	32.31228 	31.87539 	32.02205 	34.70438 	60.42975 	2.58 
36	10.10956 	22.13441 	39.50793 	39.44547 	58.78484 	58.74942 	61.18619 	102.5115 	104.257 	199.3434 	37.17902 	36.76577 	36.85929 	36.5919 	32.50926 	32.39045 	32.59944 	31.67466 	32.11697 	34.7008 	60.4944 	2.58 
37	10.08624 	22.11615 	39.5176 	39.3889 	58.78432 	58.65875 	61.18962 	102.4573 	104.1739 	199.2803 	37.1042 	36.74365 	36.8665 	36.61534 	32.48364 	32.46875 	32.5299 	31.81558 	32.10129 	34.76543 	60.59957 	2.58 
38	10.0064 	22.04855 	39.51644 	39.38108 	58.76164 	58.63386 	61.12667 	102.3906 	104.1223 	199.2966 	37.11877 	36.74132 	36.83979 	36.56342 	32.48571 	32.58972 	32.55628 	31.58062 	32.06122 	34.75776 	60.50456 	2.56 
39	10.08111 	22.06477 	39.51433 	39.3919 	58.70118 	58.67041 	61.1311 	102.4329 	104.1646 	199.155 	37.12786 	36.72077 	36.75775 	36.50196 	32.54132 	32.43283 	32.53079 	31.59747 	32.06821 	34.69924 	60.49313 	2.58 
40	9.91762 	21.9076 	39.50392 	39.44813 	58.74871 	58.58764 	61.1148 	102.3053 	104.0768 	199.2875 	36.99264 	36.5966 	36.92959 	36.67373 	32.48985 	32.43046 	32.63608 	31.72176 	32.00172 	34.74714 	60.50904 	2.56 
41	9.97774 	21.97902 	39.50315 	39.51887 	58.63803 	58.5915 	61.09178 	102.3922 	104.1347 	199.1231 	37.10755 	36.71185 	36.85468 	36.64122 	32.5 	32.48519 	32.6633 	31.76893 	32.01718 	34.64927 	60.46876 	2.56 
42	9.98738 	21.93415 	39.50372 	39.51235 	58.68297 	58.63681 	61.08388 	102.4792 	104.1428 	199.3128 	37.2473 	36.92451 	36.78726 	36.50032 	32.53512 	32.5583 	32.84577 	31.75102 	32.10074 	34.66471 	60.38877 	2.56 
43	9.92393 	21.945 	39.50788 	39.41339 	58.66674 	58.631 	61.10348 	102.4066 	104.1603 	199.3096 	37.16923 	36.80083 	36.85937 	36.59191 	32.50351 	32.44367 	32.59424 	31.91526 	32.05145 	34.71558 	60.54841 	2.58 
44	9.78004 	21.80125 	39.48635 	39.42276 	58.6084 	58.45857 	61.07687 	102.2835 	104.0368 	199.1555 	37.03174 	36.65075 	36.86762 	36.624 	32.51665 	32.45631 	32.6069 	31.7613 	32.04014 	34.64652 	60.43162 	2.54 
45	9.92971 	22.01297 	39.51254 	39.46429 	58.66318 	58.63869 	61.12165 	102.3548 	104.1026 	199.2024 	37.13733 	36.72577 	36.78403 	36.54404 	32.4662 	32.46532 	32.48725 	31.72158 	32.01915 	34.75022 	60.49343 	2.56 
46	10.1729 	22.20443 	39.52574 	39.40294 	58.86696 	58.73214 	61.20499 	102.474 	104.1632 	199.3951 	37.15584 	36.73938 	36.89913 	36.66281 	32.5395 	32.48705 	32.52501 	31.67815 	32.0051 	34.74825 	60.54065 	2.58 
47	10.05637 	22.08763 	39.49675 	39.72879 	58.48649 	58.64599 	61.16699 	102.4305 	104.175 	199.1558 	37.19225 	36.80619 	36.9056 	36.61827 	32.4917 	32.45593 	32.5724 	31.91806 	32.02399 	34.74572 	60.52108 	2.56 
48	10.01939 	22.09168 	39.52196 	39.33902 	58.75444 	58.66694 	61.16779 	102.4158 	104.136 	199.2411 	37.01809 	36.6503 	36.97158 	36.71831 	32.48853 	32.41002 	32.66236 	31.66094 	31.96338 	34.72954 	60.42916 	2.58 
49	9.96985 	21.93606 	39.51892 	39.57748 	58.69775 	58.59555 	61.04757 	102.303 	104.0437 	199.1137 	37.09074 	36.7182 	36.86876 	36.59498 	32.49715 	32.45577 	32.61382 	31.70201 	31.92945 	34.71868 	60.44588 	2.56 
50	10.01976 	22.01437 	39.51475 	39.68875 	58.74452 	58.68435 	61.18502 	102.2926 	104.0911 	199.0439 	37.09723 	36.72158 	36.87378 	36.64865 	32.48588 	32.40053 	32.4285 	31.72372 	32.05776 	34.70381 	60.44171 	2.56 
51	9.91004 	22.00482 	39.50859 	39.28465 	58.68285 	58.6376 	61.14734 	102.3539 	104.0411 	199.2511 	37.04175 	36.64703 	36.97362 	36.68286 	32.50187 	32.53634 	32.51531 	31.97186 	31.92318 	34.72127 	60.52152 	2.58 
52	9.95113 	21.92968 	39.50394 	39.62726 	58.65701 	58.56083 	61.05289 	102.4398 	104.1126 	199.0747 	37.11723 	36.7825 	36.90762 	36.65969 	32.52274 	32.50264 	32.62862 	31.81457 	32.06666 	34.63728 	60.45475 	2.56 
53	10.12603 	22.11147 	39.52594 	39.41919 	58.76388 	58.83389 	61.21116 	102.456 	104.2123 	199.2319 	37.1291 	36.75328 	36.84827 	36.58278 	32.47476 	32.40028 	32.56998 	31.62785 	31.95299 	34.7751 	60.47518 	2.58 
54	9.88393 	21.93375 	39.50572 	39.59329 	58.60867 	58.53211 	61.06719 	102.2983 	104.004 	199.1261 	37.1222 	36.75433 	36.79025 	36.56446 	32.52288 	32.45272 	32.63688 	31.94599 	32.08708 	34.72069 	60.41394 	2.56 
55	10.16539 	22.21036 	39.50583 	39.44764 	58.80342 	58.663 	61.20209 	102.5172 	104.2396 	199.2468 	37.08664 	36.67217 	36.98436 	36.79389 	32.4807 	32.40198 	32.46907 	31.70571 	32.09472 	34.76675 	60.49863 	2.58 
56	9.92118 	21.94934 	39.50528 	39.45304 	58.71293 	58.6006 	61.19015 	102.4288 	104.1611 	199.3188 	37.07388 	36.67673 	36.94122 	36.69973 	32.52023 	32.44798 	32.61258 	31.71691 	32.00292 	34.69895 	60.55573 	2.56 
57	10.12745 	22.12848 	39.52451 	39.44738 	58.69823 	58.8531 	61.23773 	102.4219 	104.112 	199.1515 	37.0404 	36.63932 	36.96878 	36.71796 	32.51722 	32.41623 	32.48638 	31.64656 	31.89141 	34.77883 	60.4115 	2.58 
58	9.95922 	21.93101 	39.50179 	39.45981 	58.63479 	58.58599 	61.05128 	102.3556 	104.0876 	199.1612 	37.10543 	36.69041 	36.83157 	36.58109 	32.48502 	32.42991 	32.64513 	31.67956 	32.06917 	34.72824 	60.46671 	2.56 
59	9.95626 	21.94226 	39.48768 	39.39786 	58.7139 	58.62766 	61.15394 	102.3095 	104.0404 	199.1843 	37.15218 	36.75502 	36.80818 	36.59522 	32.52079 	32.59724 	32.69007 	31.70459 	32.05908 	34.6813 	60.42684 	2.56 
60	9.88379 	21.91038 	39.48952 	39.44267 	58.66436 	58.55996 	61.12585 	102.3586 	104.0904 	199.3067 	37.11836 	36.72843 	36.87169 	36.59808 	32.53475 	32.46989 	32.60546 	31.90229 	32.07275 	34.68489 	60.47099 	2.56 
61	9.87777 	21.90007 	39.48407 	39.58089 	58.64536 	58.55797 	61.05968 	102.2494 	104.0156 	198.9829 	37.0956 	36.70588 	36.83653 	36.60467 	32.51145 	32.5044 	32.55183 	31.81476 	32.00306 	34.6907 	60.41667 	2.56 
62	10.1262 	22.07296 	39.51635 	39.44664 	58.77222 	58.72052 	61.18557 	102.4409 	104.1497 	199.1489 	37.15752 	36.77004 	36.93805 	36.68279 	32.51528 	32.51976 	32.60166 	31.92965 	31.96591 	34.7276 	60.49299 	2.58 
63	10.01338 	22.03658 	39.51607 	39.47204 	58.71805 	58.68742 	61.13286 	102.3919 	104.1767 	199.1873 	37.17173 	36.75773 	36.93807 	36.72546 	32.48218 	32.35065 	32.51204 	31.92312 	32.03518 	34.76544 	60.46211 	2.58 
64	9.97348 	21.96903 	39.50608 	39.49368 	58.69934 	58.59071 	61.16274 	102.4059 	104.078 	199.1677 	37.15166 	36.82836 	36.88207 	36.62856 	32.52868 	32.50802 	32.57981 	32.00273 	32.09439 	34.69051 	60.3979 	2.58 
65	10.0424 	22.04931 	39.52154 	39.58199 	58.76134 	58.72886 	61.11236 	102.295 	104.0679 	199.1145 	37.02609 	36.66563 	36.91229 	36.65184 	32.45165 	32.43538 	32.61698 	31.72446 	31.97573 	34.76656 	60.41443 	2.58 
66	10.03684 	22.02165 	39.51274 	39.41683 	58.66351 	58.6813 	61.14383 	102.3743 	104.0832 	199.3063 	37.11037 	36.72388 	36.9148 	36.66201 	32.49625 	32.49175 	32.56066 	31.77467 	32.02495 	34.7732 	60.50472 	2.58 
67	9.90664 	21.82366 	39.49761 	39.69159 	58.58646 	58.47235 	61.03166 	102.254 	103.9968 	199.0536 	37.04349 	36.6451 	36.9104 	36.68595 	32.49245 	32.48107 	32.5855 	31.65622 	32.01671 	34.63621 	60.41461 	2.54 
68	10.00347 	22.03902 	39.50772 	39.54133 	58.65471 	58.63634 	61.11361 	102.3776 	104.1522 	199.1633 	37.12914 	36.71201 	36.89894 	36.65736 	32.47293 	32.39672 	32.56643 	31.69508 	32.08969 	34.72604 	60.45346 	2.52 
69	10.02769 	22.06144 	39.5114 	39.47128 	58.74357 	58.58543 	61.0887 	102.4195 	104.1534 	199.1763 	37.07849 	36.70785 	36.8494 	36.65147 	32.49479 	32.44831 	32.49362 	31.64809 	32.00598 	34.71319 	60.44398 	2.58 
70	9.89734 	21.85829 	39.51631 	39.60402 	58.52034 	58.50019 	61.16611 	102.3588 	104.1365 	199.1404 	37.20415 	36.87358 	36.81301 	36.52954 	32.54319 	32.48691 	32.57369 	31.77575 	32.10787 	34.75791 	60.46461 	2.56 
71	10.15062 	22.19225 	39.51933 	39.42469 	58.65906 	58.68143 	61.11778 	102.3564 	104.0729 	199.1781 	37.03855 	36.65848 	36.87757 	36.627 	32.45239 	32.37287 	32.61254 	31.60531 	31.97712 	34.7678 	60.47177 	2.58 
72	9.97306 	21.97626 	39.49974 	39.54301 	58.76756 	58.61806 	61.16404 	102.4061 	104.0974 	199.2851 	37.08654 	36.69292 	36.97414 	36.71819 	32.51684 	32.49462 	32.6602 	31.80827 	32.06061 	34.72058 	60.49813 	2.56 
73	9.97084 	21.94958 	39.51574 	39.49786 	58.69639 	58.60833 	61.14751 	102.3409 	104.0991 	199.2013 	37.0554 	36.69377 	36.90047 	36.67368 	32.49911 	32.35492 	32.57175 	32.05706 	31.98433 	34.71569 	60.37635 	2.56 
74	10.0886 	22.10377 	39.50749 	39.59992 	58.72103 	58.71703 	61.17116 	102.4408 	104.1944 	199.2661 	37.18035 	36.7888 	36.83007 	36.64792 	32.52692 	32.46402 	32.56722 	31.6356 	32.02347 	34.76479 	60.49078 	2.58 
75	10.11022 	22.08969 	39.51772 	39.47472 	58.74677 	58.78859 	61.20304 	102.3849 	104.0887 	199.1685 	37.21057 	36.77935 	36.76489 	36.50294 	32.52409 	32.51617 	32.51676 	31.78589 	31.95522 	34.69003 	60.45383 	2.58 
76	10.26049 	22.19677 	39.53136 	39.53983 	58.9272 	58.88083 	61.29761 	102.5274 	104.2453 	199.3131 	37.17571 	36.83467 	36.96361 	36.70801 	32.49431 	32.40387 	32.63096 	31.53481 	32.07317 	34.83813 	60.43352 	2.58 
77	9.99093 	21.97892 	39.51464 	39.60161 	58.66971 	58.77598 	61.11187 	102.3216 	104.0781 	199.0667 	37.05785 	36.69788 	36.85984 	36.61119 	32.50357 	32.5558 	32.52712 	31.80694 	32.13361 	34.77204 	60.42595 	2.56 
78	10.20453 	22.17741 	39.50712 	39.68841 	58.79938 	58.84949 	61.16505 	102.4558 	104.1462 	199.1751 	37.15427 	36.72097 	36.93617 	36.64331 	32.46963 	32.4593 	32.4575 	31.68943 	31.97702 	34.7336 	60.55887 	2.58 
79	10.05839 	22.06287 	39.51653 	39.35931 	58.72098 	58.64444 	61.15198 	102.3768 	104.0705 	199.2507 	37.0142 	36.59029 	36.94938 	36.66211 	32.50303 	32.42709 	32.58351 	31.78976 	31.98678 	34.69716 	60.48776 	2.58 
80	9.92657 	21.85437 	39.50887 	39.55327 	58.7677 	58.49648 	61.03113 	102.3965 	104.1317 	199.2978 	37.08339 	36.75476 	36.91538 	36.69944 	32.5664 	32.47464 	32.59661 	31.69382 	31.97791 	34.65533 	60.49457 	2.56 
81	10.23393 	22.17492 	39.53956 	39.48087 	58.90612 	58.80978 	61.25197 	102.5253 	104.2079 	199.2757 	37.09624 	36.6991 	37.02817 	36.76649 	32.51814 	32.48315 	32.52134 	31.7834 	32.04072 	34.79706 	60.49394 	2.6 
82	10.22116 	22.20028 	39.53475 	39.46933 	58.83233 	58.85099 	61.17022 	102.4034 	104.1331 	199.2637 	37.17483 	36.73551 	36.84914 	36.62045 	32.45665 	32.39772 	32.51357 	31.71991 	32.04868 	34.72886 	60.5302 	2.58 
83	9.98221 	22.01455 	39.51115 	39.44709 	58.71907 	58.54612 	61.09371 	102.3619 	104.1036 	199.2176 	37.0815 	36.66008 	36.89537 	36.6598 	32.49521 	32.4431 	32.56949 	31.6966 	31.9345 	34.70001 	60.46814 	2.58 
84	10.00586 	22.00426 	39.50153 	39.37728 	58.64583 	58.56684 	61.18986 	102.4058 	104.1333 	199.1305 	37.10275 	36.72583 	36.76129 	36.5015 	32.48764 	32.50154 	32.62063 	31.78074 	32.01047 	34.69774 	60.39952 	2.56 
85	10.11308 	22.17583 	39.52194 	39.46208 	58.84487 	58.68464 	61.2409 	102.46 	104.1817 	199.2405 	37.17471 	36.76725 	36.84545 	36.56922 	32.50371 	32.39626 	32.52964 	31.65855 	32.04951 	34.7368 	60.46692 	2.58 
86	9.92246 	21.89549 	39.5002 	39.49396 	58.66922 	58.57084 	61.05618 	102.331 	104.1118 	199.1903 	37.12528 	36.74825 	36.76879 	36.58864 	32.50994 	32.44042 	32.61366 	31.71622 	32.00274 	34.69722 	60.43723 	2.56 
87	10.15167 	22.18145 	39.51525 	39.40587 	58.67667 	58.66647 	61.14551 	102.4429 	104.1822 	199.2844 	37.06033 	36.59146 	36.91469 	36.63859 	32.11582 	32.44584 	32.55218 	31.78054 	32.05262 	34.69871 	60.54586 	2.58 
88	9.93005 	21.93962 	39.52676 	39.39843 	58.69112 	58.64333 	61.1136 	102.315 	104.0048 	199.0514 	37.08269 	36.67526 	36.85888 	36.61541 	32.47918 	32.42725 	32.53076 	31.86542 	32.08116 	34.71234 	60.40021 	2.56 
89	10.08028 	22.08893 	39.52458 	39.36914 	58.74854 	58.80739 	61.14446 	102.3647 	104.0559 	199.2892 	37.07449 	36.65069 	36.88165 	36.59841 	32.50213 	32.42372 	32.50545 	31.67785 	32.00605 	34.75018 	60.48681 	2.58 
90	9.99642 	22.06893 	39.50743 	39.50141 	58.69149 	58.64295 	61.11178 	102.3452 	104.0789 	199.2069 	37.10421 	36.73781 	36.91805 	36.66006 	32.50861 	32.3501 	32.5047 	31.79966 	31.9939 	34.72828 	60.41662 	2.58 
91	10.03391 	22.04317 	39.51721 	39.51781 	58.71808 	58.6153 	61.1068 	102.3258 	104.0923 	199.1314 	37.11539 	36.67784 	36.89288 	36.59296 	32.50356 	32.52028 	32.56404 	31.82016 	32.1147 	34.68657 	60.52926 	2.58 
92	9.9982 	22.0098 	39.5035 	39.54919 	58.70866 	58.64239 	61.10911 	102.3574 	104.0604 	199.1293 	37.1253 	36.73957 	36.95714 	36.69073 	32.48348 	32.42985 	32.67487 	31.97517 	32.08484 	34.69724 	60.43243 	2.58 
93	10.13446 	22.06144 	39.51842 	39.4852 	58.70013 	58.76882 	61.17496 	102.4558 	104.1602 	199.2013 	37.15346 	36.75279 	36.83651 	36.53342 	32.48045 	32.30587 	32.50228 	31.59926 	32.01164 	34.74152 	60.43972 	2.58 
94	9.93594 	21.94857 	39.50364 	39.39177 	58.5728 	58.55656 	61.08924 	102.284 	104.0545 	199.109 	37.10499 	36.68551 	36.74127 	36.51155 	32.54011 	32.49123 	32.59961 	31.59842 	31.92138 	34.64842 	60.49243 	2.56 
95	9.96838 	21.94094 	39.50611 	39.47421 	58.57411 	58.48248 	61.18138 	102.4651 	104.1733 	199.2693 	37.18182 	36.81105 	36.84755 	36.55258 	32.55032 	32.51247 	32.53847 	31.65928 	32.07088 	34.74381 	60.48209 	2.56 
96	9.9088 	21.88375 	39.49086 	39.50399 	58.59959 	58.51908 	61.09843 	102.3977 	104.1301 	199.1909 	37.07716 	36.65889 	36.95932 	36.70885 	32.52066 	32.50597 	32.64373 	31.59144 	32.04823 	34.6705 	60.43267 	2.56 
97	10.07914 	22.12251 	39.51809 	39.33342 	58.7586 	58.61557 	61.21119 	102.43 	104.167 	199.3488 	37.04889 	36.66598 	36.93322 	36.66599 	32.52113 	32.49415 	32.58266 	31.67309 	32.09203 	34.74552 	60.45222 	2.58 
98	9.96635 	22.00499 	39.51086 	39.39982 	58.7132 	58.64758 	61.21468 	102.4236 	104.1256 	199.3192 	37.12453 	36.73671 	36.89216 	36.66228 	32.51092 	32.44876 	32.63006 	31.87297 	31.98695 	34.72742 	60.49581 	2.56 
99	9.90872 	21.95704 	39.49529 	39.40921 	58.72502 	58.38956 	61.15271 	102.3816 	104.0851 	199.2449 	37.03322 	36.69333 	36.90843 	36.66045 	32.53975 	32.50723 	32.65605 	31.77414 	32.03085 	34.64598 	60.4349 	2.56 
100	10.10337 	22.05868 	39.50077 	39.64863 	58.69225 	58.76431 	61.15889 	102.3514 	104.1181 	199.1012 	37.09644 	36.71377 	36.85001 	36.58247 	32.49916 	32.35306 	32.44291 	31.67956 	31.98498 	34.72356 	60.45545 	2.58 
