	Aéropole	Atelier relais	Centre d'activité	Centre d'affaires	Centre de gros	Cité internationnale	Couveuse	Eurofret	Europarc	Friche industrielle	Immeuble d'accueil	Immeuble intelligent	Incubateur	Jardin d'entreprises	Parc aéroportuaire	Parc club	Parc d'activité économique	Parc d'affaires	Parc d'affaires int.	Parc d'entreprises	Parc immobilier de bureau	Parc industriel et technologique	Parc scientifique	Parc technologique	Parc tertiaire	Pépinière d'entreprises	Plateforme logistique	Plateforme multimodale	Plateforme tertiaire	Quartier d'affaires	Ruche d'entreprises	Technoforum	Technoparc	Technopole	Télébase	Téléport	Usine relais	Village d'activité	Village d'entreprises	ZAC	ZI	ZI Verticale	ZIRST	Zone artisanale	Zone commerciale	Zone d'activité	Zone d'activité tertiaire	Zone d'entreprises	Zone industrialo-portuaire
Immeuble d'accueil	0	11	7	22	0	5	6	0	4	2	72	24	7	9	1	15	5	17	12	10	28	1	2	3	19	11	2	6	18	19	11	2	3	2	7	1	11	6	5	6	2	6	3	0	6	2	18	3	0
Immeuble intelligent	0	3	4	16	1	4	3	0	3	1	24	72	3	2	0	11	3	11	7	5	20	4	4	6	12	3	4	6	12	15	3	7	6	6	9	2	3	4	3	3	0	5	7	0	3	0	13	1	0
Incubateur	0	9	0	0	0	1	23	0	0	1	7	3	72	12	0	3	2	1	1	3	2	0	0	0	1	17	1	0	3	0	18	0	0	0	1	1	8	5	6	2	0	2	0	1	0	0	1	0	0
Jardin d'entreprises	0	9	17	7	3	5	14	0	11	3	9	2	12	72	1	21	25	20	13	36	7	4	3	5	19	45	0	2	12	7	41	2	7	4	1	0	9	28	39	4	10	9	1	9	1	17	14	20	0
Parc aéroportuaire	36	2	1	2	22	3	0	37	8	2	1	0	0	1	72	4	4	5	5	5	4	8	6	6	5	0	26	12	3	1	1	1	5	3	4	25	3	1	1	2	4	3	1	1	3	2	0	2	46
Parc club	0	2	17	18	0	9	4	2	22	0	15	11	3	21	4	72	25	33	24	33	18	7	9	11	30	16	2	4	18	18	12	5	15	7	4	1	2	21	21	2	2	2	4	3	2	8	21	9	0
Parc d'activité économique	1	3	26	12	2	7	3	1	21	4	5	3	2	25	4	25	72	27	23	38	10	15	12	14	26	18	1	3	14	12	14	3	12	6	1	1	3	29	33	12	14	7	6	13	8	20	17	26	0
Parc d'affaires	1	1	14	44	5	17	3	3	22	1	17	11	1	20	5	33	27	72	42	29	32	7	9	11	45	15	2	5	30	44	12	6	16	10	3	1	1	15	20	5	4	4	5	4	10	11	37	10	0
Parc d'affaires int.	3	2	9	35	5	30	3	8	26	1	12	7	1	13	5	24	23	42	72	22	23	8	10	7	31	10	4	3	23	31	8	7	10	8	3	1	2	9	12	4	3	5	3	4	7	7	25	7	2
Parc d'entreprises	0	7	23	13	3	5	5	1	20	5	10	5	3	36	5	33	38	29	22	72	11	11	8	12	32	30	1	4	14	12	27	2	14	5	2	1	7	33	42	7	17	12	3	9	3	21	18	32	0
Parc immobilier de bureau	2	3	8	37	3	16	2	4	13	3	28	20	2	7	4	18	10	32	23	11	72	6	8	8	34	6	7	8	37	34	6	8	10	10	8	3	2	7	6	6	1	4	2	0	9	2	31	2	3
Parc industriel et technologique	3	3	7	3	2	5	0	4	15	6	1	4	0	4	8	7	15	7	8	11	6	72	57	58	8	5	3	3	3	4	3	38	50	46	10	5	3	8	9	5	12	10	45	5	4	7	2	10	5
Parc scientifique	2	0	4	3	1	4	0	2	14	2	2	4	0	3	6	9	12	9	10	8	8	57	72	61	10	3	2	2	3	5	3	38	53	46	8	4	0	5	7	2	6	5	47	5	3	2	1	4	2
Parc technologique	2	1	5	4	1	4	0	2	15	2	3	6	0	5	6	11	14	11	7	12	8	58	61	72	12	6	2	4	5	6	5	40	58	51	9	5	1	8	9	2	5	5	46	3	1	2	3	7	3
Parc tertiaire	0	1	18	32	4	8	3	1	18	2	19	12	1	19	5	30	26	45	31	32	34	8	10	12	72	15	4	5	41	31	10	4	13	6	2	1	1	17	24	7	5	4	5	3	11	10	50	12	0
Pépinière d'entreprises	0	15	11	6	3	4	20	0	7	3	11	3	17	45	0	16	18	15	10	30	6	5	3	6	15	72	1	5	10	6	49	4	8	6	1	0	14	20	31	5	8	8	2	8	0	15	11	17	0
Plateforme logistique	21	4	3	3	35	3	1	38	4	3	2	4	1	0	26	2	1	2	4	1	7	3	2	2	4	1	72	32	16	3	1	1	2	2	6	20	5	1	0	4	6	4	2	2	6	4	7	6	28
Plateforme multimodale	9	5	3	4	20	3	0	21	4	1	6	6	0	2	12	4	3	5	3	4	8	3	2	4	5	5	32	72	13	4	3	1	4	4	5	7	6	3	4	2	2	1	1	2	3	2	5	5	11
Plateforme tertiaire	2	6	14	28	10	11	3	6	9	2	18	12	3	12	3	18	14	30	23	14	37	3	3	5	41	10	16	13	72	26	8	6	6	8	5	1	5	8	11	7	4	5	3	1	10	7	41	8	5
Quartier d'affaires	0	0	14	59	5	21	1	2	10	2	19	15	0	7	1	18	12	44	31	12	34	4	5	6	31	6	3	4	26	72	6	8	6	9	4	1	0	5	10	6	5	4	6	4	14	7	28	6	0
Ruche d'entreprises	0	14	9	6	3	3	20	0	7	4	11	3	18	41	1	12	14	12	8	27	6	3	3	5	10	49	1	3	8	6	72	2	5	3	1	0	13	19	28	6	9	10	1	9	0	11	8	16	0
Technoforum	2	1	4	9	0	7	0	0	7	1	2	7	0	2	1	5	3	6	7	2	8	38	38	40	4	4	1	1	6	8	2	72	42	44	8	6	1	2	2	1	2	3	32	0	1	1	3	2	2
Technoparc	2	1	7	5	1	4	1	1	18	1	3	6	0	7	5	15	12	16	10	14	10	50	53	58	13	8	2	4	6	6	5	42	72	54	7	5	1	10	10	1	4	4	40	2	1	4	6	7	3
Technopole	4	2	6	8	2	9	1	3	13	2	2	6	0	4	3	7	6	10	8	5	10	46	46	51	6	6	2	4	8	9	3	44	54	72	8	4	2	5	4	2	3	4	40	1	2	4	5	5	4
Télébase	5	1	1	3	3	4	1	6	6	2	7	9	1	1	4	4	1	3	3	2	8	10	8	9	2	1	6	5	5	4	1	8	7	8	72	15	1	1	1	3	0	2	7	1	1	1	4	3	6
Téléport	23	0	0	2	17	4	1	23	3	0	1	2	1	0	25	1	1	1	1	1	3	5	4	5	1	0	20	7	1	1	0	6	5	4	15	72	0	0	0	1	0	0	5	0	1	0	1	0	26
Usine relais	1	43	4	0	3	1	7	3	0	5	11	3	8	9	3	2	3	1	2	7	2	3	0	1	1	14	5	6	5	0	13	1	1	2	1	0	72	5	5	7	10	12	1	8	2	6	4	6	7
Village d'activité	0	6	31	3	1	6	6	0	14	3	6	4	5	28	1	21	29	15	9	33	7	8	5	8	17	20	1	3	8	5	19	2	10	5	1	0	5	72	41	5	9	7	8	11	6	21	13	17	2
Village d'entreprises	0	5	24	7	3	4	8	0	12	4	5	3	6	39	1	21	33	20	12	42	6	9	7	9	24	31	0	4	11	10	28	2	10	4	1	0	5	41	72	5	13	11	7	11	4	20	20	26	1
ZAC	2	9	14	5	4	4	2	3	2	12	6	3	2	4	2	2	12	5	4	7	6	5	2	2	7	5	4	2	7	6	6	1	1	2	3	1	7	5	5	72	23	13	11	21	14	20	15	20	7
ZI	0	10	20	5	9	1	0	5	5	13	2	0	0	10	4	2	14	4	3	17	1	12	6	5	5	8	6	2	4	5	9	2	4	3	0	0	10	9	13	23	72	35	12	28	16	36	14	44	12
ZI Verticale	0	11	10	4	5	1	2	3	4	9	6	5	2	9	3	2	7	4	5	12	4	10	5	5	4	8	4	1	5	4	10	3	4	4	2	0	12	7	11	13	35	72	8	12	6	16	10	22	10
ZIRST	0	1	7	4	1	4	0	1	2	4	3	7	0	1	1	4	6	5	3	3	2	45	47	46	5	2	2	1	3	6	1	32	40	40	7	5	1	8	7	11	12	8	72	10	5	8	11	11	5
Zone artisanale	0	9	15	2	3	2	1	2	3	5	0	0	1	9	1	3	13	4	4	9	0	5	5	3	3	8	2	2	1	4	9	0	2	1	1	0	8	11	11	21	28	12	10	72	22	27	13	25	4
Zone commerciale	1	1	14	13	12	3	0	4	2	4	6	3	0	1	3	2	8	10	7	3	9	4	3	1	11	0	6	3	10	14	0	1	1	2	1	1	2	6	4	14	16	6	5	22	72	17	16	15	5
Zone d'activité	0	6	34	6	9	3	2	3	8	9	2	0	0	17	2	8	20	11	7	21	2	7	2	2	10	15	4	2	7	7	11	1	4	4	1	0	6	21	20	20	36	16	8	27	17	72	19	43	7
Zone d'activité tertiaire	0	4	22	32	7	8	3	2	9	4	18	13	1	14	0	21	17	37	25	18	31	2	1	3	50	11	7	5	41	28	8	3	6	5	4	1	4	13	20	15	14	10	11	13	16	19	72	20	5
Zone d'entreprises	0	6	29	7	10	1	2	5	12	11	3	1	0	20	2	9	26	10	7	32	2	10	4	7	12	17	6	5	8	6	16	2	7	5	3	0	6	17	26	20	44	22	11	25	15	43	20	72	7
Zone industrialo-portuaire	32	6	5	0	25	2	0	37	6	2	0	0	0	0	46	0	0	0	2	0	3	5	2	3	0	0	28	11	5	0	0	2	3	4	6	26	7	2	1	7	12	10	5	4	5	7	5	7	72
